category,id,date,location,total_sale,nooflots,lot,title,descr,measures,empty,estimated,realized
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 103,AN AMLASH TERRACOTTA FEMALE FIGURE,CIRCA EARLY 1ST MILLENNIUM B.C.,7 7/8 in. (20 cm.) high,,"estimate $10,000 - $15,000 ","price realized $20,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 105,A EURASIAN BRONZE MIRROR,CIRCA 6TH-4TH CENTURY B.C.,10 ¼ in. (26 cm.) long,,"estimate $7,000 - $9,000 ","price realized $8,750"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 108,AN ACHAEMENID GOLD LION BRACTEATE,CIRCA 5TH CENTURY B.C.,3/4 in. (1.9 cm.) wide,,"estimate $2,000 - $3,000 ","price realized $4,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 109,TWO MAOTIC-SCYTHIAN GOLD PLAQUES,CIRCA 4TH CENTURY B.C.,3 11/16 in. (9.3 cm.) high,,"estimate $4,000 - $6,000 ","price realized $5,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 113,AN EGYPTIAN LIMESTONE RELIEF,"OLD KINGDOM, 5TH-6TH DYNASTY, 2494-2181 B.C.",27 ½ in. (69.8 cm.) high,,"estimate $30,000 - $50,000 ","price realized $118,750"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 114,AN EGYPTIAN TRAVERTINE MALE HEAD,"OLD KINGDOM, 4TH DYNASTY, 2637-2613 B.C.",1 ½ in. (3.8 cm.) high,,"estimate $6,000 - $8,000 ","price realized $21,250"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 118,AN EGYPTIAN SERPENTINE HEART SCARAB,"NEW KINGDOM TO THIRD INTERMEDIATE PERIOD, 1550-664 B.C.",1 ¾ in. (4.5 cm.) long,,"estimate $3,000 - $5,000 ","price realized $10,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 120,AN EGYPTIAN FAIENCE SHABTI FOR NES-AMUN,"THIRD INTERMEDIATE PERIOD, 1069-664 B.C.",5 5/8 in. (14.3 cm.) high,,"estimate $6,000 - $8,000 ","price realized $6,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 128,TWO EGYPTIAN STONE AMULETS,"LATE PERIOD, 664-334 B.C.",Taller: 7/8 in. (2.2 cm.) high,,"estimate $1,500 - $2,000 ",price realized $500
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 131,AN EGYPTIAN BRONZE CAT,"PTOLEMAIC PERIOD, 332-30 B.C.",7 3/16 in. (18.2 cm.) high,,"estimate $70,000 - $90,000 ","price realized $87,500"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 132,AN EGYPTIAN OR PHOENICIAN ALABASTER VASE,CIRCA 7TH CENTURY B.C.,10 7/8 in. (25.1 cm.) high,,"estimate $15,000 - $20,000 ","price realized $15,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 135,AN EGYPTIAN BRONZE NEITH,"LATE PERIOD, 26TH DYNASTY, 664-525 B.C.",8 1/8 in. (20.5 cm.) high,,"estimate $70,000 - $90,000 ","price realized $87,500"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 136,AN EGYPTIAN GILT WOOD CAT HEAD,"PTOLEMAIC PERIOD, CIRCA 1550-30 B.C.",3 in. (7.2 cm.) high,,"estimate $5,000 - $7,000 ","price realized $13,750"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 138,AN EGYPTIAN DIORITE HEAD OF AN OFFICIAL,"LATE PERIOD, 30TH DYNASTY, 380-343 B.C.",7 ¼ in. (18.5 cm.) high,,"estimate $40,000 - $60,000 ","price realized $75,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 141,AN EGYPTIAN BRONZE LION-HEADED GODDESS,"LATE PERIOD TO PTOLEMAIC PERIOD, 664-30 B.C.",6 1/8 in. (15.5 cm.) high,,"estimate $6,000 - $8,000 ","price realized $13,750"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 142,AN EGYPTIAN BRONZE SEATED OSIRIS,"LATE PERIOD TO PTOLEMAIC PERIOD, 664-30 B.C.",4 ½ in. (11.5 cm.) high,,"estimate $5,000 - $7,000 ","price realized $9,375"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 143,AN EGYPTIAN BRONZE LION-HEADED GODDESS,"LATE PERIOD TO PTOLEMAIC PERIOD, 664-30 B.C.",3 3/8 in. (8.5 cm.) high,,"estimate $6,000 - $8,000 ","price realized $15,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 144,AN EGYPTIAN BRONZE BASTET,"LATE PERIOD TO PTOLEMAIC PERIOD, 664-30 B.C.",4 5/16 in. (11 cm.) high,,"estimate $8,000 - $12,000 ","price realized $6,250"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 145,AN EGYPTIAN BRONZE LEPIDOTUS FISH,"LATE PERIOD TO PTOLEMAIC PERIOD, 664-30 B.C.",6 7/16 in. (16.4 cm.) long,,"estimate $6,000 - $8,000 ","price realized $35,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 146,AN EGYPTIAN BRONZE IBIS,"LATE PERIOD TO PTOLEMAIC PERIOD, 664-30 B.C.",4 15/16 in. (12.5 cm.) high,,"estimate $3,000 - $5,000 ","price realized $5,250"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 147,AN EGYPTIAN BRONZE HORUS,"LATE PERIOD TO PTOLEMAIC PERIOD, 664-30 B.C.",5 ¼ in. (13.4 cm.) high,,"estimate $5,000 - $7,000 ","price realized $5,625"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 148,AN EGYPTIAN BRONZE BES,"LATE PTOLEMAIC PERIOD TO ROMAN PERIOD, CIRCA 1ST CENTURY B.C.-1ST CENTURY A.D.",6 ½ in. (16.5 cm.) high,,"estimate $80,000 - $120,000 ","price realized $93,750"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 149,AN EGYPTIAN BRONZE BASTET,"LATE PERIOD TO PTOLEMAIC PERIOD, 664-30 B.C.",5 11/16 in. (14.5 cm.) high,,"estimate $12,000 - $18,000 ","price realized $15,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 150,TWO EGYPTIAN TERRACOTTA FIGURES,"PTOLEMAIC PERIOD TO ROMAN PERIOD, CIRCA 1ST CENTURY B.C.-1ST CENTURY A.D.",Larger: 5 15/16 in. (14.4 cm.) high,,"estimate $4,000 - $6,000 ","price realized $2,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 152,AN EGYPTIAN PLASTER MUMMY MASK,"ROMAN PERIOD, CIRCA 2ND CENTURY A.D.",7 in. (17.8 cm.) high,,"estimate $12,000 - $18,000 ","price realized $15,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 154,A SUMERIAN LIMESTONE HEMISPHEROID SEAL,"LATE URUK-JAMDAT NASR PERIOD, CIRCA 3300-2900 B.C.",1 ¾ in. (4.4 cm.) diameter,,"estimate $2,000 - $3,000 ",price realized $688
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 155,A SUMERIAN LIMESTONE HEMISPHEROID SEAL,"LATE URUK-JAMDAT NASR PERIOD, CIRCA 3300-2900 B.C.",2 in. (5.1 cm.) diameter,,"estimate $2,000 - $3,000 ",price realized $625
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 156,A SUMERIAN BROWN CALCITE HEMISPHEROID SEAL,"LATE URUK-JAMDAT NASR PERIOD, CIRCA 3300-2900 B.C.",1 ¾ in. (4.4 cm.) diameter,,"estimate $2,000 - $3,000 ",price realized $500
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 157,SIX SUMERIAN STONE ZOOMORPHIC AMULETS,"LATE URUK-JAMDAT NASR PERIOD, CIRCA 3300-2900 B.C.",Largest: 2 in. (5 cm.) long,,"estimate $2,500 - $3,500 ","price realized $1,125"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 158,THREE SUMERIAN STONE ZOOMORPHIC SEALS,"LATE URUK-JAMDAT NASR PERIOD, CIRCA 3300-2900 B.C.",Largest: 1 ¼ in. (3.2 cm.) long,,"estimate $4,000 - $6,000 ","price realized $1,250"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 159,TWO SUMERIAN GREEN CALCITE ZOOMORPHIC SEALS,"LATE URUK-JEMDAT NASR PERIOD, CIRCA 3300-2900 B.C.",Longer: 1 ½ in. (3.8 cm.) long,,"estimate $3,000 - $5,000 ","price realized $2,250"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 160,NINE STONE AND SHELL AMULETS AND SEALS,CIRCA 3RD-2ND MILLENNIUM B.C.,Longest: 2 in. (5.2 cm.) long,,"estimate $3,000 - $5,000 ","price realized $2,375"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 161,TWO NEO-ASSYRIAN AMULETS,CIRCA 7TH CENTURY B.C.,Taller: 1 in. (1.6 cm.) high,,"estimate $3,000 - $5,000 ","price realized $1,750"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 162,A NEO-BABYLONIAN BANDED AGATE FROG AMULET,CIRCA 8TH-7TH CENTURY B.C.,13/16 in. (2 cm.) long,,"estimate $3,000 - $5,000 ","price realized $1,250"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 163,A WEST SEMITIC CHALCEDONY SCARABOID,CIRCA 9TH-8TH CENTURY B.C.,1 in. (2.6 cm.) long,,"estimate $5,000 - $7,000 ","price realized $10,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 164,TWO NEAR EASTERN CHALCEDONY SEALS,CIRCA 7TH-4TH CENTURY B.C.,Larger: .15/16 in. (2.5 cm.) high,,"estimate $3,000 - $5,000 ","price realized $1,375"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 165,A GREEK CARNELIAN PSEUDO-SCARAB,"ARCHAIC PERIOD, CIRCA LATE 6TH CENTURY B.C.",½ in. (1.2 cm.) long,,"estimate $8,000 - $12,000 ","price realized $18,750"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 166,A GREEK CARNELIAN SCARAB,"ARCHAIC PERIOD, CIRCA LATE 6TH CENTURY B.C.",½ in. (1.27 cm.) long,,"estimate $8,000 - $12,000 ","price realized $5,625"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 167,A GREEK CARNELIAN SCARAB,"ARCHAIC PERIOD, CIRCA LATE 6TH CENTURY B.C.",½ in. (1.27 cm.) long,,"estimate $8,000 - $12,000 ","price realized $2,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 168,AN ETRUSCAN BANDED AGATE SCARAB,CIRCA 4TH CENTURY B.C.,½ in. (1.27 cm.) long,,"estimate $8,000 - $12,000 ","price realized $17,500"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 169,AN ITALIC BANDED AGATE RINGSTONE,CIRCA 3RD-1ST CENTURY B.C.,9/16 in. (1.5 cm.) long,,"estimate $3,000 - $5,000 ","price realized $1,250"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 170,A ROMAN CARNELIAN HARE AMULET,CIRCA 1ST-2ND CENTURY A.D.,1 in. (2.5 cm.) long,,"estimate $2,000 - $3,000 ",price realized $688
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 171,SIX EGYPTIAN STEATITE AND FAIENCE AMULETS,"MIDDLE KINGDOM TO THIRD INTERMEDIATE PERIOD, 12TH DYNASTY-25TH DYNASTY,",Longest: 1 1/16 in. (2.7 cm.) long,,"estimate $3,000 - $5,000 ","price realized $7,500"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 172,FIVE EGYPTIAN STONE AND FAIENCE ZOOMORPHIC AMULETS,"SECOND INTERMEDIATE PERIOD TO PTOLEMAIC PERIODS, 1650-30 B.C.",Longest: 1 1/16 in. (2.7 cm.) long,,"estimate $3,000 - $5,000 ","price realized $1,188"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 173,TEN ANCIENT STONE AND FAIENCE AMULETS,CIRCA 16TH CENTURY B.C.-1ST CENTURY B.C.,Longest: 3/8 in. (1 cm.) long,,"estimate $3,000 - $5,000 ","price realized $1,875"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 174,FOUR EGYPTIAN STONE AND FAIENCE AMULETS,"NEW KINGDOM, 1550-1069 B.C.",Largest: 1 1/16 in. (2.7 cm.) long,,"estimate $3,000 - $5,000 ","price realized $1,188"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 175,FIVE EGYPTIAN FAIENCE PLAQUES,"LATE 19TH DYNASTY-PTOLEMAIC PERIOD, 1188-30 B.C.",Longest: 1 3/16 in. (3 cm.) long,,"estimate $3,000 - $5,000 ","price realized $4,375"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 176,EIGHT EGYPTIAN STONE AND FAIENCE AMULETS,"NEW KINGDOM TO PTOLEMAIC PERIOD, 1550-30 B.C.",Longest: 1 ¼ in. (3.2 cm.) long,,"estimate $4,000 - $6,000 ","price realized $1,875"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 177,AN EGYPTIAN FAIENCE BABOON AMULET,"NEW KINGDOM, 1550-1069 B.C.",½ in. (.8 cm.) high,,"estimate $2,000 - $3,000 ","price realized $1,250"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 178,AN EGYPTIAN FAIENCE LION AMULET,"NEW KINGDOM, 19TH-20TH DYNASTY, 1295-1069 B.C",1 1/16 in. (2.8 cm.) long,,"estimate $5,000 - $7,000 ","price realized $2,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 179,AN EGYPTIAN FAIENCE PECTORAL,"NEW KINGDOM, 19TH-20TH DYNASTY, 1307-1070 B.C.",2 ¾ in. (7 cm.) high,,"estimate $5,000 - $7,000 ","price realized $2,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 180,AN EGYPTIAN FAIENCE BES AMULET,"NEW KINGDOM, 18TH DYNASTY, 1550-1295 B.C.",1 ½ in. (4 cm.) high,,"estimate $3,000 - $5,000 ","price realized $3,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 181,AN EGYPTIAN FAIENCE BES HEAD AMULET,"THIRD INTERMEDIATE PERIOD TO PTOLEMAIC PERIOD, 1069-30 B.C.",1 7/8 in. (5 cm.) high,,"estimate $1,500 - $2,000 ",price realized $625
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 182,AN EGYPTIAN FAIENCE BES AMULET,"THIRD INTERMEDIATE PERIOD, 1069-664 B.C.",2 ¾ in. (7 cm.) high,,"estimate $6,000 - $8,000 ","price realized $1,375"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 183,THREE EGYPTIAN INSCRIBED FAIENCE BEADS,"THIRD INTERMEDIATE PERIOD, 1069-664 B.C.",Longest: 2 ¼ in. (5.7 cm.) long,,"estimate $1,500 - $2,000 ","price realized $1,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 184,AN EGYPTIAN SERPENTINE HEART SCARAB,"LATE PERIOD, 664-332 B.C.",1 5/8 in. (4.1 cm.) long,,"estimate $5,000 - $7,000 ","price realized $13,750"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 185,THREE EGYPTIAN STONE SCARABS,"THIRD INTERMEDIATE PERIOD TO LATE PERIOD, 1069-332 B.C.",Largest: 1 ¾ in. (4.5 cm.) long,,"estimate $2,000 - $3,000 ","price realized $3,750"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 186,AN EGYPTIAN GILT SILVER FALCON,"LATE PERIOD TO PTOLEMAIC PERIOD, 664-30 B.C.",1 ¼ in. (3.2 cm.) high,,"estimate $4,000 - $6,000 ","price realized $2,750"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 187,AN EGYPTIAN FAIENCE BES AMULET,"LATE PERIOD TO PTOLEMAIC PERIOD, 664-30 B.C.",1 15/16 in. (3.8 cm.) high,,"estimate $4,000 - $6,000 ","price realized $1,250"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 188,AN EGYPTIAN FAIENCE PATAIKOS,"PTOLEMAIC PERIOD, 332-30 B.C.",2 9/16 in. (6.5 cm.) high,,"estimate $2,000 - $3,000 ",price realized $625
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 189,FOUR EGYPTIAN FAIENCE AMULETS,"PTOLEMAIC PERIOD, 332-30 B.C.",Tallest: 2 in. (5 cm.) high,,"estimate $5,000 - $7,000 ",price realized $813
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 190,AN EGYPTIAN GOLD LION AMULET,"EARLY DYNASTIC PERIOD, CIRCA 3000-2686 B.C.",Lion: 9/16 in. (1.5 cm.) long,,"estimate $5,000 - $7,000 ","price realized $7,500"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 191,AN EGYPTIAN GOLD SHU AMULET,"LATE PERIOD, 664-332 B.C.",15/16 in. (2.4 cm.) high,,"estimate $6,000 - $8,000 ","price realized $5,625"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 192,AN EGYPTIAN GOLD HARPOKRATES AMULET,"THIRD INTERMEDIATE PERIOD, 1069-664 B.C.",¾ in. (1.9 cm.) high,,"estimate $6,000 - $8,000 ","price realized $5,000"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 193,A ROMAN HAEMATITE MAGIC GEM,CIRCA 3RD CENTURY A.D.,¾ in. (2 cm.) high; ring size 8,,"estimate $5,000 - $7,000 ","price realized $8,750"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 194,FIVE SASANIAN STONE SEALS,CIRCA 4TH-6TH CENTURY A.D.,Largest: 1 ¼ in. (3.2 cm.) wide,,"estimate $2,000 - $3,000 ",price realized $625
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 195,A SASANIAN GOLD AND GARNET FINGER RING,CIRCA 6TH CENTURY A.D.,7/8 in. (2.3 cm.) high; ring size 3 ¾,,"estimate $3,000 - $5,000 ","price realized $2,125"
Antiquities,Auction                3798,"9 December 2015,                    New York","9 December 2015,                    New York","SALE TOTAL: 4,029,062 (USD)",131 Lotsfor Sale 3798,Lot 196,FOUR SASANIAN STONE RINGSTONES,CIRCA 5TH-7TH CENTURY A.D.,Largest: ½ in. (8 cm.) wide,,"estimate $3,000 - $5,000 ",price realized $500
Antiquities,Auction                10373,"1 October 2015,                    London","1 October 2015,                    London","SALE TOTAL: 2,859,375 (GBP)",133 Lotsfor Sale 10373,Lot 1,A PROTOCORINTHIAN POTTERY OINOCHOE,CIRCA LATE 8TH CENTURY B.C.,11 ¼ in. (28.5 cm.) high,,"estimate £25,000 - £35,000($38,100 - $53,340) ","price realized £32,500  ($49,140)"
Antiquities,Auction                10373,"1 October 2015,                    London","1 October 2015,                    London","SALE TOTAL: 2,859,375 (GBP)",133 Lotsfor Sale 10373,Lot 2,A CORINTHIAN BLACK-FIGURED ALABASTRON,"ATTRIBUTED TO THE JOSLYN PAINTER, EARLY CORINTHIAN, CIRCA 610-600 B.C.",8 5/8 in. (21.9 cm.) high,,"estimate £8,000 - £12,000($12,192 - $18,288) ","price realized £15,000  ($22,680)"
Antiquities,Auction                10373,"1 October 2015,                    London","1 October 2015,                    London","SALE TOTAL: 2,859,375 (GBP)",133 Lotsfor Sale 10373,Lot 3,AN EAST GREEK POTTERY TRIPOD BOWL,"POSSIBLY CARIA, CIRCA 675-650 B.C.",3 ¼ in. (8.2 cm.) high,,"estimate £3,000 - £5,000($4,572 - $7,620) ","price realized £6,875  ($10,395)"
Antiquities,Auction                10373,"1 October 2015,                    London","1 October 2015,                    London","SALE TOTAL: 2,859,375 (GBP)",133 Lotsfor Sale 10373,Lot 5,AN ATTIC POTTERY FIGURAL OINOCHOE,"ATTRIBUTED TO THE COOK CLASS, CIRCA 500-475 B.C.",6 ¼ in. (15.9 cm.) high,,"estimate £3,000 - £5,000($4,572 - $7,620) ","price realized £3,750  ($5,670)"
Antiquities,Auction                10373,"1 October 2015,                    London","1 October 2015,                    London","SALE TOTAL: 2,859,375 (GBP)",133 Lotsfor Sale 10373,Lot 9,AN ATTIC BLACK-GLAZED FISH-PLATE,"GALLATIN TYPE III, CIRCA LATE 6TH-EARLY 5TH CENTURY B.C.",8 5/8 in. (22 cm.) diam.,,"estimate £1,000 - £1,500($1,524 - $2,286) ","price realized £2,000  ($3,024)"
Antiquities,Auction                10373,"1 October 2015,                    London","1 October 2015,                    London","SALE TOTAL: 2,859,375 (GBP)",133 Lotsfor Sale 10373,Lot 11,SEVEN ATTIC RED-FIGURED CUP FRAGMENTS,"ATTRIBUTED TO MAKRON, CIRCA 490-480 B.C.",Largest assembled fragment: 3 5/8 in. (9.2 cm.) wide,,"estimate £1,500 - £2,500($2,286 - $3,810) ","price realized £1,875  ($2,835)"
Antiquities,Auction                10373,"1 October 2015,                    London","1 October 2015,                    London","SALE TOTAL: 2,859,375 (GBP)",133 Lotsfor Sale 10373,Lot 12,AN ATTIC RED-FIGURED PELIKE,"ATTRIBUTED TO THE WASHING PAINTER, CIRCA 430-420 B.C.",6 7/8 in. (17.5 cm.) high,,"estimate £8,000 - £12,000($12,192 - $18,288) ","price realized £17,500  ($26,460)"
